age,gender,course,semester,study_hours,sleep_hours,assignment_pressure,exam_pressure,attendance_stress,screen_time_hours,stress_level,anxiety_level,exercise_frequency,socializing_frequency,emotionally_exhausted,lost_motivation,support_level,mentally_drained_frequency,difficulty_concentrating,weekly_journal,burnout_risk
23,Prefer not to say,BTech,7,4.8,5.5,4,4,3,4.3,5,5,Never,Rarely,No,Sometimes,6,Often,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
20,Male,BCA,6,9.2,3.5,9,9,10,3.6,10,9,3-5 times/week,Sometimes,Yes,Sometimes,5,Often,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
23,Male,BTech,4,3.9,7.6,3,2,2,8.2,3,4,Daily,Sometimes,Sometimes,No,8,Never,Sometimes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
22,Prefer not to say,BCA,4,6.1,6.5,6,7,8,4.6,7,7,1-2 times/week,Sometimes,Yes,Yes,3,Sometimes,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
23,Female,BCom,8,4.8,7.4,3,4,3,4.5,4,3,3-5 times/week,Often,No,Sometimes,8,Never,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
24,Prefer not to say,BCom,2,4.1,5.6,5,5,7,9.0,5,5,3-5 times/week,Never,No,Yes,7,Sometimes,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
22,Male,BTech,5,2.0,7.3,5,5,6,4.2,4,4,3-5 times/week,Rarely,No,No,3,Sometimes,Sometimes,Studies are going well and I still get time to relax with friends.,Low
19,Prefer not to say,BTech,2,5.1,5.7,7,6,4,8.9,6,5,1-2 times/week,Rarely,No,Sometimes,5,Sometimes,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
21,Prefer not to say,BSc,8,9.0,5.4,10,10,8,4.5,10,8,Never,Sometimes,Yes,Yes,5,Often,Yes,Constant pressure is making me anxious and mentally drained this week.,High
22,Male,BSc,8,2.7,8.3,1,3,1,7.3,2,3,Daily,Rarely,Sometimes,Sometimes,6,Never,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
